id,label,description,parent,children
0,root,survey responses,-1,"[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008, 10009, 10010, 10011, 10012, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10041, 10042, 10043, 10044, 10045, 10046, 10047, 10048, 10049, 10050, 10051, 10052, 10053, 10054, 10055, 10056, 10057, 10058, 10059, 10060, 10061, 10062, 10063, 10064, 10065, 10066, 10067, 10068, 10069, 10070, 10071, 10072, 10073, 10074, 10075, 10076, 10077, 10078, 10079, 10080, 10081, 10082, 10083, 10084, 10085, 10086, 10087, 10088, 10089, 10090, 10091, 10092, 10093, 10094, 10095]"
1,leaf,I keep hearing the same concern from neighbours: renovictions are displacing long-term tenants. A practical response would be to protect existing affordable rentals.,10148,[]
2,leaf,"I keep hearing the same concern from neighbours: childcare remains unaffordable for many parents. It would help to reduce unnecessary fees. The situation varies by neighbourhood, so one solution may not fit everywhere.",10077,[]
3,leaf,the biggest issue for me is that poor lighting makes some streets feel unsafe. even small improvements would make daily life easier. we should probably make non-emergency reporting easier. i would rather see measurable progress than another study.,10102,[]
4,leaf,"The biggest issue for me is that shelters are full or feel unsafe. It would help to provide storage, washrooms, and outreach services. I would also add that young adults cannot afford to move out.",10134,[]
5,leaf,One thing that really needs attention is that there are few entry-level jobs with advancement. That could improve if we encourage employers to pay living wages.,10156,[]
6,leaf,I keep hearing the same concern from neighbours: there are few entry-level jobs with advancement. I think the best first step is to revitalize vacant commercial areas.,10081,[]
7,leaf,"The community has changed a lot, and now utilities and insurance keep increasing. We should probably offer targeted help for low-income households.",10088,[]
8,leaf,I would start with rent is rising faster than wages. That could improve if we build more mixed-income housing.,10155,[]
9,leaf,"Probably youth have too few safe places to spend time. The solution needs to be practical, not just symbolic.",10024,[]
10,leaf,Mostly dangerous intersections are not being fixed. A neighbour recently told me they were considering moving because of it.,10047,[]
11,leaf,"From what I see in my neighbourhood, specialist referrals take months... The people most affected often have the least influence over decisions. I think the best first step is to make referral systems easier to navigate. At the same time, small everyday purchases now feel expensive. That would make the community feel more livable. A neighbour recently told me they were considering moving because of it.",10016,[]
12,leaf,"Honestly, property taxes and housing costs are squeezing fixed-income residents. It feels worse outside the downtown core. I think the best first step is to expand rent assistance. At the same time, extreme heat is harder on vulnerable residents. There should be clear public reporting on whether things are improving.",10155,[]
13,leaf,"I keep hearing the same concern from neighbours: more people are sleeping outside. I think the best first step is to provide storage, washrooms, and outreach services. It would improve both quality of life and trust in local government.",10032,[]
14,leaf,My main concern is that drivers speed through residential streets. You notice it more when you do not own a car. I would like to see the city coordinate construction schedules.,10153,[]
15,leaf,"I would start with class sizes are too large. It is especially difficult for seniors and people on fixed incomes. It would help to repair aging school facilities. This should be treated as a long-term priority. On my street, people have been talking about this for months.",10053,[]
16,leaf,The biggest issue for me is that schools need more educational assistants. That could improve if we repair aging school facilities. I would also add that mental health and addiction services are fragmented.,10048,[]
17,leaf,"The community has changed a lot, and now people are being moved without receiving long-term support. We should probably pair outreach workers with health professionals. Another concern is that service is too infrequent outside rush hour.",10125,[]
18,leaf,"The first thing I would fix is the fact that playgrounds need repairs. I would like to see the city make recreation spaces easier to access. Another concern is that drivers speed through residential streets. It would improve both quality of life and trust in local government. The situation varies by neighbourhood, so one solution may not fit everywhere.",10153,[]
19,leaf,I keep hearing the same concern from neighbours: groceries cost noticeably more every month. There should be clear public reporting on whether things are improving.,10044,[]
20,leaf,Probably potholes are damaging vehicles. We should probably improve winter maintenance. I would also add that new housing takes too long to approve. That could improve if we expand rent assistance.,10021,[]
21,leaf,"Honestly, crowding makes commuting stressful. A practical response would be to add routes in underserved areas. Another concern is that flooding is becoming more frequent. We should probably support home energy retrofits. Doing nothing will only make the problem more expensive later.",10025,[]
22,leaf,"probably there is not enough affordable rental stock. this affects my family directly. that could improve if we speed up approvals for apartment construction. at the same time, walk-in clinics are overcrowded. doing nothing will only make the problem more expensive later.",10154,[]
23,leaf,"The community has changed a lot, and now renovictions are displacing long-term tenants. We should probably expand rent assistance. Doing nothing will only make the problem more expensive later.",10148,[]
24,leaf,Probably there are too few supportive housing spaces. I have lived here for years and the change is noticeable. A practical response would be to improve addiction treatment access.,10118,[]
25,leaf,probably schools need more educational assistants. it would help to fund more classroom support. there is also the issue that shelters are full or feel unsafe.,10157,[]
26,leaf,for me it comes down to this: more people are sleeping outside. this affects my family directly. local government should open more supportive housing.,10158,[]
27,leaf,"The community has changed a lot, and now youth have too few safe places to spend time. This is not just an inconvenience anymore. I think the best first step is to improve street lighting. I would also add that buses are late and sometimes do not show up. It would improve both quality of life and trust in local government.",10151,[]
28,leaf,The first thing I would fix is the fact that snow clearing is inconsistent. I would like to see the city coordinate construction schedules.,10100,[]
29,leaf,"One thing that really needs attention is that small businesses are struggling with high costs. It feels worse outside the downtown core. I think the best first step is to encourage employers to pay living wages. At the same time, mental health and addiction services are fragmented.",10156,[]
30,leaf,I would start with families are cutting back on food and activities. We should probably offer targeted help for low-income households. There is also the issue that car dependence contributes to pollution.,10002,[]
31,leaf,"For me it comes down to this: people with disabilities face barriers to employment. I do not expect an overnight solution, but the current approach is not working. We should probably encourage employers to pay living wages. There is also the issue that too many new units are priced as luxury housing. I think the best first step is to protect existing affordable rentals. There should be clear public reporting on whether things are improving.",10010,[]
32,leaf,"The community has changed a lot, and now repeat vandalism is affecting local businesses. It would help to increase community-based outreach. I would also add that recycling rules are confusing. Residents should be involved before major decisions are made. The situation varies by neighbourhood, so one solution may not fit everywhere.",10007,[]
33,leaf,My main concern is that residents do not know where to report non-emergency problems. It is especially difficult for seniors and people on fixed incomes. A practical response would be to invest in youth programs. This is connected to the fact that groceries cost noticeably more every month.,10044,[]
34,leaf,"The community has changed a lot, and now traffic congestion is getting worse... I do not expect an overnight solution, but the current approach is not working. A practical response would be to redesign dangerous intersections. This is connected to the fact that seniors on fixed incomes are struggling. We should probably improve access to affordable childcare.",10153,[]
35,leaf,Probably downtown storefronts are sitting empty. Local government should encourage employers to pay living wages.,10073,[]
36,leaf,My main concern is that construction projects seem poorly coordinated. Even small improvements would make daily life easier. That could improve if we add traffic calming on residential streets. Another concern is that transit feels less safe late at night. I think the best first step is to coordinate transfers better.,10042,[]
37,leaf,"Mostly small businesses are struggling with high costs. Another concern is that public washrooms are often closed. That could improve if we improve litter collection. The solution needs to be practical, not just symbolic.",10152,[]
38,leaf,I keep hearing the same concern from neighbours: service is too infrequent outside rush hour. That could improve if we make stops safer and more accessible. I would also add that potholes are damaging vehicles. There should be clear public reporting on whether things are improving.,10029,[]
39,leaf,I would start with people with disabilities face barriers to employment. It feels worse outside the downtown core. I would like to see the city revitalize vacant commercial areas. I would rather see measurable progress than another study. A neighbour recently told me they were considering moving because of it.,10108,[]
40,leaf,"I would start with people do not feel safe walking at night. This affects my family directly. It would help to invest in youth programs. The solution needs to be practical, not just symbolic.",10014,[]
41,leaf,"The community has changed a lot, and now rent is rising faster than wages. I have lived here for years and the change is noticeable. I would like to see the city use public land for non-market housing. Doing nothing will only make the problem more expensive later.",10155,[]
42,leaf,"Honestly, rent is rising faster than wages. Local government should protect existing affordable rentals. This should be treated as a long-term priority.",10093,[]
43,leaf,"One thing that really needs attention is that youth have too few safe places to spend time. It is especially difficult for seniors and people on fixed incomes. That could improve if we improve street lighting. The situation varies by neighbourhood, so one solution may not fit everywhere.",10024,[]
44,leaf,"Honestly, students are struggling with mental health. We should probably expand youth mental health services.",10048,[]
45,leaf,I would start with some neighbourhoods have poor transit coverage.,10043,[]
46,leaf,"For me it comes down to this: litter accumulates around busy spaces. I think the best first step is to repair playgrounds and sports facilities. At the same time, property taxes and housing costs are squeezing fixed-income residents. I would like to see the city build more mixed-income housing. The solution needs to be practical, not just symbolic.",10152,[]
47,leaf,"The biggest issue for me is that rent is rising faster than wages. That could improve if we speed up approvals for apartment construction. At the same time, some neighborhoods lack usable green space. Local government should plant more trees. That would make the community feel more livable.",10069,[]
48,leaf,The biggest issue for me is that encampments are appearing in parks and underpasses. It feels worse outside the downtown core. I think the best first step is to improve addiction treatment access. There is also the issue that potholes are damaging vehicles. I think the best first step is to coordinate construction schedules.,10153,[]
49,leaf,Probably starter homes are out of reach... We should probably use public land for non-market housing. Residents should be involved before major decisions are made.,10036,[]
50,leaf,A major problem is that residents and unhoused people are being pushed into conflict. It would help to create safer low-barrier shelters.,10158,[]
51,leaf,"For me it comes down to this: traffic congestion is getting worse. Even small improvements would make daily life easier. That could improve if we add traffic calming on residential streets. At the same time, property taxes and housing costs are squeezing fixed-income residents. The situation varies by neighbourhood, so one solution may not fit everywhere.",10155,[]
52,leaf,"We need to expand rent assistance. The solution needs to be practical, not just symbolic.",10093,[]
53,leaf,"Honestly, some neighbourhoods have poor transit coverage. This is not just an inconvenience anymore. It would help to run buses more frequently. That would make the community feel more livable.",10043,[]
54,leaf,My main concern is that crowding makes commuting stressful. This is not just an inconvenience anymore. We should probably add routes in underserved areas.,10025,[]
55,leaf,Fix groceries cost noticeably more every month.,10044,[]
56,leaf,Fix property taxes and housing costs are squeezing fixed-income residents. It would improve both quality of life and trust in local government.,10144,[]
57,leaf,Downtown storefronts are sitting empty. It is getting harder to ignore.,10159,[]
58,leaf,Service is too infrequent outside rush hour. Please increase late-night service. That would make the community feel more livable.,10123,[]
59,leaf,"The community has changed a lot, and now local waterways need better protection... There is also the issue that property taxes and housing costs are squeezing fixed-income residents.",10147,[]
60,leaf,"From what I see in my neighbourhood, parks are not maintained consistently. I would like to see the city create more small neighbourhood parks. I see the impact on my commute almost every day.",10152,[]
61,leaf,"The community has changed a lot, and now new housing takes too long to approve. It would help to use public land for non-market housing.",10155,[]
62,leaf,"Renovictions are displacing long-term tenants, especially lately.",10148,[]
63,leaf,A major problem is that property taxes and housing costs are squeezing fixed-income residents.,10147,[]
64,leaf,One thing that really needs attention is that renovictions are displacing long-term tenants. I think the best first step is to expand rent assistance.,10149,[]
65,leaf,"My main concern is that property theft has become more common. A practical response would be to improve street lighting. At the same time, dangerous intersections are not being fixed.",10111,[]
66,leaf,a major problem is that health services are difficult to navigate. even small improvements would make daily life easier. that could improve if we fund more counselling and crisis services. another concern is that older buildings waste too much energy. we should probably expand cooling centres and tree cover.,10018,[]
67,leaf,"From what I see in my neighbourhood, starter homes are out of reach. It would help to allow more duplexes and small apartment buildings.",10036,[]
68,leaf,My main concern is that new housing takes too long to approve. That could improve if we speed up approvals for apartment construction.,10140,[]
69,leaf,"Honestly, wages have not kept up with basic expenses. Even small improvements would make daily life easier. That could improve if we expand food security programs. It would improve both quality of life and trust in local government.",10156,[]
70,leaf,"Honestly, small everyday purchases now feel expensive. Local government should reduce unnecessary fees. I would rather see measurable progress than another study.",10105,[]
71,leaf,"My main concern is that mental health and addiction services are fragmented. This is not just an inconvenience anymore. I would like to see the city provide storage, washrooms, and outreach services. This should be treated as a long-term priority. The situation varies by neighbourhood, so one solution may not fit everywhere.",10118,[]
72,leaf,I would start with home care support is inconsistent. Parents in the area talk about this constantly. We should probably improve access to urgent care. It would improve both quality of life and trust in local government.,10117,[]
73,leaf,A major problem is that utilities and insurance keep increasing. Local government should expand food security programs.,10088,[]
74,leaf,"A major problem is that people are being moved without receiving long-term support. I do not expect an overnight solution, but the current approach is not working. I think the best first step is to focus on permanent housing instead of repeated displacement. This is connected to the fact that schools need more educational assistants.",10133,[]
75,leaf,"Probably some neighborhoods have poor transit coverage. Local government should increase late-night service. At the same time, public washrooms are often closed. We should probably repair playgrounds and sports facilities. It would improve both quality of life and trust in local government. I see the impact on my commute almost every day.",10034,[]
76,leaf,It is difficult to find a family doctor. It is getting harder to ignore. I would also add that utilities and insurance keep increasing. Residents should be involved before major decisions are made.,10054,[]
77,leaf,My main concern is that buses are late and sometimes do not show up. It would help to run buses more frequently. This should be treated as a long-term priority.,10045,[]
78,leaf,We need to protect existing affordable rentals.,10094,[]
79,leaf,My main concern is that open drug use is increasing in some areas. This affects my family directly. Local government should invest in youth programs.,10012,[]
80,leaf,One thing that really needs attention is that utilities and insurance keep increasing. It would help to improve access to affordable childcare. Residents should be involved before major decisions are made.,10156,[]
81,leaf,For me it comes down to this: mental health care is hard to access.,10030,[]
82,leaf,One thing that really needs attention is that young people are leaving for better opportunities. I think the best first step is to create better job-training partnerships. That would make the community feel more livable.,10071,[]
83,leaf,For me it comes down to this: there is not enough affordable rental stock. It is especially difficult for seniors and people on fixed incomes. I think the best first step is to use public land for non-market housing.,10155,[]
84,leaf,One thing that really needs attention is that snow clearing is inconsistent. It is especially difficult for seniors and people on fixed incomes. That could improve if we enforce parking and speeding rules more consistently.,10101,[]
85,leaf,"Dangerous intersections are not being fixed, especially lately. On my street, people have been talking about this for months.",10047,[]
86,leaf,Mostly open drug use is increasing in some areas. It would improve both quality of life and trust in local government.,10012,[]
87,leaf,A major problem is that schools need more educational assistants. A practical response would be to fund more classroom support. Residents should be involved before major decisions are made.,10058,[]
88,leaf,One thing that really needs attention is that after-school programs are limited. It is especially difficult for seniors and people on fixed incomes. It would help to offer affordable after-school activities. Residents should be involved before major decisions are made.,10057,[]
89,leaf,I keep hearing the same concern from neighbours: emergency room waits are extremely long. It would help to improve access to urgent care. Residents should be involved before major decisions are made.,10074,[]
90,leaf,One thing that really needs attention is that schools need more educational assistants. Parents in the area talk about this constantly. A practical response would be to improve access to tutoring and technology.,10157,[]
91,leaf,A major problem is that there are too few trees and shaded areas. Another concern is that utilities and insurance keep increasing.,10050,[]
92,leaf,The first thing I would fix is the fact that young people are leaving for better opportunities. We should probably attract industries that offer stable careers. This is connected to the fact that rent is rising faster than wages.,10071,[]
93,leaf,The biggest issue for me is that small everyday purchases now feel expensive. You notice it more when you do not own a car. That could improve if we support living-wage jobs. This is connected to the fact that starter homes are out of reach. That would make the community feel more livable.,10155,[]
94,leaf,One thing that really needs attention is that many available jobs do not pay enough. This affects my family directly. I think the best first step is to revitalize vacant commercial areas. Residents should be involved before major decisions are made.,10156,[]
95,leaf,"The community has changed a lot, and now repeat vandalism is affecting local businesses... That could improve if we support prevention as well as enforcement. Residents should be involved before major decisions are made.",10007,[]
96,leaf,"The biggest issue for me is that more people are sleeping outside. A practical response would be to pair outreach workers with health professionals. This is connected to the fact that rent is rising faster than wages. A practical response would be to allow more duplexes and small apartment buildings. The situation varies by neighbourhood, so one solution may not fit everywhere.",10032,[]
97,leaf,"Honestly, families are cutting back on food and activities. This is connected to the fact that too many new units are priced as luxury housing. I would like to see the city expand rent assistance. I would rather see measurable progress than another study.",10106,[]
98,leaf,I would start with poor lighting makes some streets feel unsafe. I would like to see the city support prevention as well as enforcement.,10013,[]
99,leaf,The biggest issue for me is that poor lighting makes some streets feel unsafe. We should probably invest in youth programs.,10013,[]
100,leaf,The first thing I would fix is the fact that utilities and insurance keep increasing. A practical response would be to offer targeted help for low-income households.,10063,[]
101,leaf,The biggest issue for me is that construction projects seem poorly coordinated. You notice it more when you do not own a car. We should probably add traffic calming on residential streets. I would also add that starter homes are out of reach.,10153,[]
102,leaf,"One thing that really needs attention is that people are being moved without receiving long-term support. I would like to see the city provide storage, washrooms, and outreach services. Residents should be involved before major decisions are made.",10159,[]
103,leaf,Fix walk-in clinics are overcrowded. This is connected to the fact that more people are sleeping outside. A practical response would be to pair outreach workers with health professionals. It is particularly visible around schools and shopping areas.,10072,[]
104,leaf,"I would start with construction projects seem poorly coordinated... I do not expect an overnight solution, but the current approach is not working. I think the best first step is to enforce parking and speeding rules more consistently. At the same time, downtown storefronts are sitting empty. That could improve if we expand accessible employment programs.",10060,[]
105,leaf,The first thing I would fix is the fact that renovictions are displacing long-term tenants. A practical response would be to speed up approvals for apartment construction. Another concern is that schools need more educational assistants. I think the best first step is to improve access to tutoring and technology. It would improve both quality of life and trust in local government.,10137,[]
106,leaf,"The community has changed a lot, and now mental health care is hard to access. Local government should increase home-care capacity. There is also the issue that dangerous intersections are not being fixed. Residents should be involved before major decisions are made. It is particularly visible around schools and shopping areas.",10030,[]
107,leaf,I would start with some neighbourhoods have poor transit coverage. I have lived here for years and the change is noticeable. I think the best first step is to add routes in underserved areas. Residents should be involved before major decisions are made.,10043,[]
108,leaf,For me it comes down to this: downtown storefronts are sitting empty. Local government should expand accessible employment programs. I would rather see measurable progress than another study.,10105,[]
109,leaf,For me it comes down to this: home care support is inconsistent. That could improve if we increase home-care capacity. Another concern is that parks are not maintained consistently. A practical response would be to repair playgrounds and sports facilities. I would rather see measurable progress than another study.,10108,[]
110,leaf,A major problem is that property taxes and housing costs are squeezing fixed-income residents. Local government should speed up approvals for apartment construction. I would rather see measurable progress than another study.,10106,[]
111,leaf,Mostly childcare remains unaffordable for many parents. That would make the community feel more livable.,10077,[]
112,leaf,"Honestly, crowding makes commuting stressful. That could improve if we improve real-time arrival information. The solution needs to be practical, not just symbolic.",10025,[]
113,leaf,"From what I see in my neighbourhood, local waterways need better protection. This is not just an inconvenience anymore. We should probably expand cooling centres and tree cover. This should be treated as a long-term priority. The situation varies by neighbourhood, so one solution may not fit everywhere.",10096,[]
114,leaf,There are not enough trees. It is getting harder to ignore. That would make the community feel more livable.,10050,[]
115,leaf,Potholes are damaging vehicles. It is getting harder to ignore. There should be clear public reporting on whether things are improving.,10021,[]
116,leaf,A major problem is that traffic congestion is getting worse. This is not just an inconvenience anymore. A practical response would be to enforce parking and speeding rules more consistently. I would rather see measurable progress than another study.,10008,[]
